Family,Scientific,BodyMass-Value,Length,Wing,Tail,Tarsus,Toe,Bill L,Bill W,Bill D,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,Nocturnal
Acanthisittidae,Acanthisitta chloris,6.91,69,58,23,21.7,12.6,13.7,4,3,90,0,0,0,0,0,10,0,0,0,Invertebrate,0,0,20,60,20,0,0,0,0
Acanthisittidae,Xenicus gilviventris,17.59,93,52.5,20,24.68,18.77,16.065,5.53,3.735,80,0,0,0,0,0,10,0,10,0,Invertebrate,0,0,50,50,0,0,0,0,0
Calyptomenidae,Smithornis rufolateralis,19.04,124,63.5,39.333,13.3583,11.6,16.35,10.6083,5.725,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,20,80,0,0,0,0
Calyptomenidae,Calyptomena viridis,58.5,160.55600000000001,101,41.667,19.072199999999999,14.0611,17.3944,10.4333,5.9278,30,0,0,0,0,0,70,0,0,0,FruiNect,0,0,10,50,40,0,0,0,0
Eurylaimidae,Cymbirhynchus macrorhynchos,59.4,215,104.375,87,21.962499999999999,15.637499999999999,25.6188,15.8438,13.2438,80,0,0,0,0,0,10,0,0,10,Invertebrate,0,0,60,20,20,0,0,0,0
Eurylaimidae,Eurylaimus javanicus,78.2,206.333,108.333,60.833,22.774999999999999,16.158300000000001,29.7417,18.6833,11.2417,90,0,0,0,0,0,10,0,0,0,Invertebrate,0,0,10,50,40,0,0,0,0
Eurylaimidae,Eurylaimus ochromalus,33.3,152,81.75,46.75,18.8188,12.7563,20.3125,13.55,8.0063,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,70,30,0,0,0,0
Eurylaimidae,Corydon sumatranus,140,259.125,128.5,88.5,23.4375,17.875,28.9563,23.825,14.9063,90,0,10,0,0,0,0,0,0,0,Invertebrate,0,0,0,0,100,0,0,0,0
Philepittidae,Philepitta castanea,35.4,153,81,38,23,23.1,20.05,9.65,5.45,0,0,0,0,0,0,30,60,0,10,FruiNect,0,0,10,30,30,30,0,0,0
Philepittidae,Philepitta schlegeli,27.9,121.5,76,34,17.75,16.649999999999999,15.6,8.8,6,10,0,0,0,0,0,70,20,0,0,FruiNect,0,0,0,20,20,60,0,0,0
Philepittidae,Neodrepanis coruscans,6.5,83,51,19,15,10.35,25,4.6,4,20,0,0,0,0,0,0,80,0,0,FruiNect,0,0,0,0,40,60,0,0,0
Philepittidae,Neodrepanis hypoxantha,7.1,91,49,21,14.76,10.53,21.78,6.3,4.34,20,0,0,0,0,0,0,80,0,0,FruiNect,0,0,0,0,40,60,0,0,0
Pittidae,Pitta sordida,64.5,165,104,33.5,36.450000000000003,24.824999999999999,23.95,10.2,9.45,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,100,0,0,0,0,0,0
Pittidae,Pitta reichenowi,94.87,174.833,115.833,42,35.041699999999999,21.3,24.3833,8.3167,8.0667,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,100,0,0,0,0,0,0
Furnariidae,Geositta poeciloptera,17.97,120,75,38,17.79,13.74,18.12,5.84,4.71,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,100,0,0,0,0,0,0
Furnariidae,Geositta cunicularia,28.5,156,98,57,21.98,13.34,23.75,7.2,5.28,80,0,0,0,0,0,0,0,20,0,Invertebrate,0,0,100,0,0,0,0,0,0
Furnariidae,Geositta cunicularia,28.5,149,99,52,21.04,12.98,20.82,6.11,4.46,80,0,0,0,0,0,0,0,20,0,Invertebrate,0,0,100,0,0,0,0,0,0
Furnariidae,Geositta punensis,25.8,133,91,53,20.53,13.07,19.42,6.01,5.01,50,0,0,0,0,0,0,0,50,0,Omnivore,0,0,100,0,0,0,0,0,0
Furnariidae,Geositta antarctica,36.87,174,107,63,21.11,14.32,17.37,6.09,4.79,50,0,0,0,0,0,0,0,50,0,Omnivore,0,0,100,0,0,0,0,0,0
Furnariidae,Geositta tenuirostris,32.2,175,105,56,20.52,16.14,30.81,6.88,5.16,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,100,0,0,0,0,0,0
Furnariidae,Geositta tenuirostris,32.2,169,110,61,23.2,13.57,34.17,6.37,5.21,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,100,0,0,0,0,0,0
Furnariidae,Geositta tenuirostris,32.2,158,106,56,23.06,14.25,30.82,6.25,5.78,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,100,0,0,0,0,0,0
