sciName,howMany,comName,lat,lng,N_papers,id,publication_date,abstract,title
Haliaeetus leucocephalus,1,Bald Eagle,49.26476,-123.25257,42,10.1371/journal.pone.0111546,2014-11-12T00:00:00Z,"
Top predators and scavengers are vulnerable to pollutants, particularly those accumulated along the food chain. Lead accumulation can induce severe disorders and alter survival both in mammals (including humans) and in birds. A potential source of lead poisoning in wild animals, and especially in scavengers, results from the consumption of ammunition residues in the tissues of big game killed by hunters. For two consecutive years we quantified the level lead exposure in individuals of a sentinel scavenger species, the common raven (Corvus corax), captured during the moose (Alces alces) hunting season in eastern Quebec, Canada. The source of the lead contamination was also determined using stable isotope analyses. Finally, we identified the different scavenger species that could potentially be exposed to lead by installing automatic cameras targeting moose gut piles. Blood lead concentration in ravens increased over time, indicating lead accumulation over the moose-hunting season. Using a contamination threshold of 100 µg.L−1, more than 50% of individuals were lead-contaminated during the moose hunting period. Lead concentration was twice as high in one year compared to the other, matching the number of rifle-shot moose in the area. Non-contaminated birds exhibited no ammunition isotope signatures. The isotope signature of the lead detected in contaminated ravens tended towards the signature from lead ammunition. We also found that black bears (Ursus americanus), golden eagles and bald eagles (Aquila chrysaetos and Haliaeetus leucocephalus, two species of conservation concern) scavenged heavily on moose viscera left by hunters. Our unequivocal results agree with other studies and further motivate the use of non-toxic ammunition for big game hunting.
",High Risk of Lead Contamination for Scavengers in an Area with High Moose Hunting Success
Haliaeetus leucocephalus,1,Bald Eagle,49.26476,-123.25257,42,10.1371/journal.pone.0157807,2016-06-23T00:00:00Z,"
Collisions with anthropogenic structures are a significant and well documented source of mortality for avian species worldwide. The bald eagle (Haliaeetus leucocephalus) is known to be vulnerable to collision with wind turbines and federal wind energy guidelines include an eagle risk assessment for new projects. To address the need for risk assessment, in this study, we 1) identified areas of northeastern North America utilized by migrating bald eagles, and 2) compared these with high wind-potential areas to identify potential risk of bald eagle collision with wind turbines. We captured and marked 17 resident and migrant bald eagles in the northern Chesapeake Bay between August 2007 and May 2009. We produced utilization distribution (UD) surfaces for 132 individual migration tracks using a dynamic Brownian bridge movement model and combined these to create a population wide UD surface with a 1 km cell size. We found eagle migration movements were concentrated within two main corridors along the Appalachian Mountains and the Atlantic Coast. Of the 3,123 wind turbines ≥100 m in height in the study area, 38% were located in UD 20, and 31% in UD 40. In the United States portion of the study area, commercially viable wind power classes overlapped with only 2% of the UD category 20 (i.e., the areas of highest use by migrating eagles) and 4% of UD category 40. This is encouraging because it suggests that wind energy development can still occur in the study area at sites that are most viable from a wind power perspective and are unlikely to cause significant mortality of migrating eagles. In siting new turbines, wind energy developers should avoid the high-use migration corridors (UD categories 20 & 40) and focus new wind energy projects on lower-risk areas (UD categories 60–100).
",Utilization Probability Map for Migrating Bald Eagles in Northeastern North America: A Tool for Siting Wind Energy Facilities and Other Flight Hazards
Haliaeetus leucocephalus,1,Bald Eagle,49.26476,-123.25257,42,10.1371/journal.pone.0148902,2016-02-12T00:00:00Z,"
Habitat loss and fragmentation intensify the effects of genetic drift and endogamy, reducing genetic variability of populations with serious consequences for wildlife conservation. The Harpy Eagle (Harpia harpyja) is a forest dwelling species that is considered near threatened and suffers from habitat loss in the forests of the Neotropical region. In this study, 72 historical and current samples were assessed using eight autosomal microsatellite markers to investigate the distribution of genetic diversity of the Harpy Eagle of the Amazonian and Atlantic forests in Brazil. The results showed that the genetic diversity of Harpy Eagle decreased in the regions where deforestation is intense in the southern Amazon and Atlantic Forest.
",Reduction of Genetic Diversity of the Harpy Eagle in Brazilian Tropical Forests
Haliaeetus leucocephalus,1,Bald Eagle,49.26476,-123.25257,42,10.1371/journal.pone.0051978,2012-12-19T00:00:00Z,"
        Studies suggest hunter discarded viscera of big game animals (i.e., offal) is a source of lead available to scavengers. We investigated the incidence of lead exposure in bald eagles in Wyoming during the big game hunting season, the influx of eagles into our study area during the hunt, the geographic origins of eagles exposed to lead, and the efficacy of using non-lead rifle ammunition to reduce lead in eagles. We tested 81 blood samples from bald eagles before, during and after the big game hunting seasons in 2005–2010, excluding 2008, and found eagles had significantly higher lead levels during the hunt. We found 24% of eagles tested had levels indicating at least clinical exposure (>60 ug/dL) during the hunt while no birds did during the non-hunting seasons. We performed driving surveys from 2009–2010 to measure eagle abundance and found evidence to suggest that eagles are attracted to the study area during the hunt. We fitted 10 eagles with satellite transmitters captured during the hunt and all migrated south after the cessation of the hunt. One returned to our study area while the remaining nine traveled north to summer/breed in Canada. The following fall, 80% returned to our study area for the hunting season, indicating that offal provides a seasonal attractant for eagles. We fitted three local breeding eagles with satellite transmitters and none left their breeding territories to feed on offal during the hunt, indicating that lead ingestion may be affecting migrants to a greater degree. During the 2009 and 2010 hunting seasons we provided non-lead rifle ammunition to local hunters and recorded that 24% and 31% of successful hunters used non-lead ammunition, respectively. We found the use of non-lead ammunition significantly reduced lead exposure in eagles, suggesting this is a viable solution to reduce lead exposure in eagles.
      ","Lead Exposure in Bald Eagles from Big Game Hunting, the Continental Implications and Successful Mitigation Efforts"
Haliaeetus leucocephalus,1,Bald Eagle,49.26476,-123.25257,42,10.1371/journal.pone.0093295,2014-04-02T00:00:00Z,"
Vacuolar myelinopathy (VM) is a neurologic disease primarily found in birds that occurs when wildlife ingest submerged aquatic vegetation colonized by an uncharacterized toxin-producing cyanobacterium (hereafter “UCB” for “uncharacterized cyanobacterium”). Turtles are among the closest extant relatives of birds and many species directly and/or indirectly consume aquatic vegetation. However, it is unknown whether turtles can develop VM. We conducted a feeding trial to determine whether painted turtles (Chrysemys picta) would develop VM after feeding on Hydrilla (Hydrilla verticillata), colonized by the UCB (Hydrilla is the most common “host” of UCB). We hypothesized turtles fed Hydrilla colonized by the UCB would exhibit neurologic impairment and vacuolation of nervous tissues, whereas turtles fed Hydrilla free of the UCB would not. The ability of Hydrilla colonized by the UCB to cause VM (hereafter, “toxicity”) was verified by feeding it to domestic chickens (Gallus gallus domesticus) or necropsy of field collected American coots (Fulica americana) captured at the site of Hydrilla collections. We randomly assigned ten wild-caught turtles into toxic or non-toxic Hydrilla feeding groups and delivered the diets for up to 97 days. Between days 82 and 89, all turtles fed toxic Hydrilla displayed physical and/or neurologic impairment. Histologic examination of the brain and spinal cord revealed vacuolations in all treatment turtles. None of the control turtles exhibited neurologic impairment or had detectable brain or spinal cord vacuolations. This is the first evidence that freshwater turtles can become neurologically impaired and develop vacuolations after consuming toxic Hydrilla colonized with the UCB. The southeastern United States, where outbreaks of VM occur regularly and where vegetation colonized by the UCB is common, is also a global hotspot of freshwater turtle diversity. Our results suggest that further investigations into the effect of the putative UCB toxin on wild turtles in situ are warranted.
",Experimental Feeding of Hydrilla verticillata Colonized by Stigonematales Cyanobacteria Induces Vacuolar Myelinopathy in Painted Turtles (Chrysemys picta)
Haliaeetus leucocephalus,1,Bald Eagle,49.26476,-123.25257,42,10.1371/journal.pone.0143568,2015-11-24T00:00:00Z,"
Monochromatic light is widely applied to promote poultry reproductive performance, yet little is currently known regarding the mechanism by which light wavelengths affect pigeon reproduction. Recently, high-throughput sequencing technologies have been used to provide genomic information for solving this problem. In this study, we employed Illumina Hiseq 2000 to identify differentially expressed genes in ovary tissue from pigeons under blue and white light conditions and de novo transcriptome assembly to construct a comprehensive sequence database containing information on the mechanisms of follicle development. A total of 157,774 unigenes (mean length: 790 bp) were obtained by the Trinity program, and 35.83% of these unigenes were matched to genes in a non-redundant protein database. Gene description, gene ontology, and the clustering of orthologous group terms were performed to annotate the transcriptome assembly. Differentially expressed genes between blue and white light conditions included those related to oocyte maturation, hormone biosynthesis, and circadian rhythm. Furthermore, 17,574 SSRs and 533,887 potential SNPs were identified in this transcriptome assembly. This work is the first transcriptome analysis of the Columba ovary using Illumina technology, and the resulting transcriptome and differentially expressed gene data can facilitate further investigations into the molecular mechanism of the effect of blue light on follicle development and reproduction in pigeons and other bird species.
",Analysis of Pigeon (Columba) Ovary Transcriptomes to Identify Genes Involved in Blue Light Regulation
Haliaeetus leucocephalus,1,Bald Eagle,49.26476,-123.25257,42,10.1371/journal.pone.0017656,2011-04-06T00:00:00Z,"
        Predatory and scavenging birds may be exposed to high levels of lead when they ingest shot or bullet fragments embedded in the tissues of animals injured or killed with lead ammunition. Lead poisoning was a contributing factor in the decline of the endangered California condor population in the 1980s, and remains one of the primary factors threatening species recovery. In response to this threat, a ban on the use of lead ammunition for most hunting activities in the range of the condor in California was implemented in 2008. Monitoring of lead exposure in predatory and scavenging birds is essential for assessing the effectiveness of the lead ammunition ban in reducing lead exposure in these species. In this study, we assessed the effectiveness of the regulation in decreasing blood lead concentration in two avian sentinels, golden eagles and turkey vultures, within the condor range in California. We compared blood lead concentration in golden eagles and turkey vultures prior to the lead ammunition ban and one year following implementation of the ban. Lead exposure in both golden eagles and turkey vultures declined significantly post-ban. Our findings provide evidence that hunter compliance with lead ammunition regulations was sufficient to reduce lead exposure in predatory and scavenging birds at our study sites.
      ",Impact of the California Lead Ammunition Ban on Reducing Lead Exposure in Golden Eagles and Turkey Vultures
Haliaeetus leucocephalus,1,Bald Eagle,49.26476,-123.25257,42,10.1371/journal.pone.0130978,2015-07-02T00:00:00Z,"
Wind power is a major candidate in the search for clean, renewable energy. Beyond the technical and economic challenges of wind energy development are environmental issues that may restrict its growth. Avian fatalities due to collisions with rotating turbine blades are a leading concern and there is considerable uncertainty surrounding avian collision risk at wind facilities. This uncertainty is not reflected in many models currently used to predict the avian fatalities that would result from proposed wind developments. We introduce a method to predict fatalities at wind facilities, based on pre-construction monitoring. Our method can directly incorporate uncertainty into the estimates of avian fatalities and can be updated if information on the true number of fatalities becomes available from post-construction carcass monitoring. Our model considers only three parameters: hazardous footprint, bird exposure to turbines and collision probability. By using a Bayesian analytical framework we account for uncertainties in these values, which are then reflected in our predictions and can be reduced through subsequent data collection. The simplicity of our approach makes it accessible to ecologists concerned with the impact of wind development, as well as to managers, policy makers and industry interested in its implementation in real-world decision contexts. We demonstrate the utility of our method by predicting golden eagle (Aquila chrysaetos) fatalities at a wind installation in the United States. Using pre-construction data, we predicted 7.48 eagle fatalities year-1 (95% CI: (1.1, 19.81)). The U.S. Fish and Wildlife Service uses the 80th quantile (11.0 eagle fatalities year-1) in their permitting process to ensure there is only a 20% chance a wind facility exceeds the authorized fatalities. Once data were available from two-years of post-construction monitoring, we updated the fatality estimate to 4.8 eagle fatalities year-1 (95% CI: (1.76, 9.4); 80th quantile, 6.3). In this case, the increased precision in the fatality prediction lowered the level of authorized take, and thus lowered the required amount of compensatory mitigation.
","A Collision Risk Model to Predict Avian Fatalities at Wind Facilities: An Example Using Golden Eagles, Aquila chrysaetos"
Haliaeetus leucocephalus,1,Bald Eagle,49.26476,-123.25257,42,10.1371/journal.pone.0137622,2015-09-09T00:00:00Z,"
Feathers have been widely used to assess mercury contamination in birds as they reflect metal concentrations accumulated between successive moult periods: they are also easy to sample and have minimum impact on the study birds. Moult is considered the major pathway for mercury excretion in seabirds. Penguins are widely believed to undergo a complete, annual moult during which they do not feed. As penguins lose all their feathers, they are expected to have a low individual-variability in feather mercury concentration as all feathers are formed simultaneously from the same somatic reserves. This assumption is central to penguin studies that use feathers to examine the annual or among-individual variation in mercury concentrations in penguins. To test this assumption, we measured the mercury concentrations in 3–5 body feathers of 52 gentoo penguins (Pygoscelis papua) breeding at Bird Island, South Georgia (54°S 38°W). Twenty-five percent of the penguins studied showed substantial within-individual variation in the amount of mercury in their feathers (Coefficient of Variation: 34.7–96.7%). This variation may be caused by differences in moult patterns among individuals within the population leading to different interpretations in the overall population. Further investigation is now needed to fully understand individual variation in penguins’ moult.
",Feathers as a Tool to Assess Mercury Contamination in Gentoo Penguins: Variations at the Individual Level
Haliaeetus leucocephalus,1,Bald Eagle,49.26476,-123.25257,42,10.1371/journal.pone.0143018,2015-11-25T00:00:00Z,"
Throughout the world, populations of scavenger birds are declining rapidly with some populations already on the brink of extinction. Much of the current research into the factors contributing to these declines has focused on exposure to drug residues, lead, and other toxins. Despite increased monitoring of these declining populations, little is known about infectious diseases affecting scavenger bird species. To assess potential infectious disease risks to both obligate and facultative scavenger bird species, we performed a serosurvey for eleven potential pathogens in three species of scavenging birds in California: the California condor (Gymnogyps californianus), turkey vulture (Cathartes aura) and golden eagle (Aquila chrysaetos). California condors were seropositive for avian adenovirus, infectious bronchitis virus, Mycoplasma gallisepticum, avian paramyxovirus-2, West Nile virus (WNV) and Toxoplasma gondii. Golden eagles were seropositive for avian adenovirus, Chlamydophila psittaci and Toxoplasma gondii, and turkey vultures were seropositive for avian adenovirus, Chlamydophila psittaci, avian paramyxovirus-1, Toxoplasma gondii and WNV. Risk factor analyses indicated that rearing site and original release location were significantly associated with a positive serologic titer to WNV among free-flying condors. This study provides preliminary baseline data on infectious disease exposure in these populations for aiding in early disease detection and provides potentially critical information for conservation of the endangered California condor as it continues to expand its range and encounter new infectious disease threats.
",Seroepidemiologic Survey of Potential Pathogens in Obligate and Facultative Scavenging Avian Species in California
